threshold,precision,recall,f1,tp,fp,tn,fn,n_flagged,flagged_per_day,fraud_caught_per_day
0.32,0.6553748870822041,0.4846359385437542,0.5572196620583717,1451,763,81673,1543,2214,73.8,48.36666666666667
0.325,0.6584699453551912,0.48296593186372744,0.5572254335260116,1446,750,81686,1548,2196,73.2,48.2
0.33,0.6632841328413284,0.4802939211756847,0.5571483920960868,1438,730,81706,1556,2168,72.26666666666667,47.93333333333333
0.335,0.6657329598506069,0.47628590514362057,0.5552959501557632,1426,716,81720,1568,2142,71.4,47.53333333333333
0.34,0.6714015151515151,0.47361389445557783,0.555424990207599,1418,694,81742,1576,2112,70.4,47.266666666666666
0.345,0.6747851002865329,0.47194388777555113,0.5554245283018867,1413,681,81755,1581,2094,69.8,47.1
0.35,0.6795928259815802,0.4682698730794923,0.5544789400830531,1402,661,81775,1592,2063,68.76666666666667,46.733333333333334
0.355,0.6829985301322881,0.46559786239144957,0.5537239324726911,1394,647,81789,1600,2041,68.03333333333333,46.46666666666667
0.36,0.6884272997032641,0.4649298597194389,0.5550239234449762,1392,630,81806,1602,2022,67.4,46.4
0.365,0.6915,0.4619238476953908,0.5538646375650781,1383,617,81819,1611,2000,66.66666666666667,46.1
0.37,0.6934343434343434,0.45858383433533734,0.5520707679935666,1373,607,81829,1621,1980,66.0,45.766666666666666
0.375,0.6962283384301733,0.4562458249832999,0.5512510088781275,1366,596,81840,1628,1962,65.4,45.53333333333333
0.38,0.7006172839506173,0.45490981963927857,0.551640340218712,1362,582,81854,1632,1944,64.8,45.4
0.385,0.703125,0.45090180360721444,0.5494505494505494,1350,570,81866,1644,1920,64.0,45.0
0.39,0.7060367454068242,0.44923179692718773,0.54909165135742,1345,560,81876,1649,1905,63.5,44.833333333333336
0.395,0.7125398512221042,0.44789579158316634,0.5500410172272355,1341,541,81895,1653,1882,62.733333333333334,44.7
0.4,0.7152815013404826,0.4455577822311289,0.5490841736982919,1334,531,81905,1660,1865,62.166666666666664,44.46666666666667
