feature,source,gain,group,gain_share
num__V143,V143,4.042562007904053,V,0.002501862306739323
num__V223,V223,3.92849063873291,V,0.002431265774577434
num__V280,V280,3.922687530517578,V,0.002427674344766962
num__V208,V208,3.91900372505188,V,0.002425394509844957
num__V210,V210,3.836528778076172,V,0.002374352383419831
num__V320,V320,3.8067593574523926,V,0.0023559286731077867
num__V58,V58,3.6967902183532715,V,0.00228787093064676
num__V12,V12,3.6941330432891846,V,0.002286226457136583
num__C13,C13,3.6528382301330566,C,0.002260669907528399
num__V335,V335,3.584012508392334,V,0.0022180750187869103
num__V64,V64,3.5421247482299805,V,0.00219215150591091
num__V169,V169,3.523799419403076,V,0.0021808103194650387
num__V205,V205,3.507378578186035,V,0.002170647783032563
num__V194,V194,3.4350712299346924,V,0.0021258981839573717
num__V165,V165,3.3953564167022705,V,0.0021013194653004613
cat__ProductCD_R,ProductCD,3.3940021991729736,product,0.002100481366642964
num__V334,V334,3.3762428760528564,V,0.0020894904700233074
num__V227,V227,3.3456993103027344,V,0.0020705876564822323
num__V296,V296,3.2967305183410645,V,0.0020402818319640373
num__V111,V111,3.2703537940979004,V,0.0020239577948731524
num__V115,V115,3.235842227935791,V,0.002002599263734062
num__V191,V191,3.1798095703125,V,0.0019679217513594717
num__V79,V79,3.163909435272217,V,0.001958081469762907
cat__card4_discover,card4,3.163757085800171,card,0.0019579871836639387
num__V311,V311,3.1607112884521484,V,0.001956102199447473
num__V269,V269,3.15545392036438,V,0.0019528485174938688
num__V287,V287,3.141828775405884,V,0.001944416182620867
cat__id_36_T,id_36,3.0933806896209717,identity,0.0019144326129385831
num__card3,card3,3.089398145675659,card,0.0019119678946331548
num__C12,C12,3.088812828063965,C,0.0019116056530479161
num__V324,V324,3.0532069206237793,V,0.0018895698555641233
num__V312,V312,3.0448129177093506,V,0.0018843749718608655
num__V54,V54,3.019993305206299,V,0.0018690146006735216
num__V69,V69,2.980083703994751,V,0.0018443153315583056
num__V94,V94,2.9508917331695557,V,0.0018262489935963416
num__V206,V206,2.927342176437378,V,0.0018116746350055623
num__V272,V272,2.917327880859375,V,0.001805476983964919
num__V109,V109,2.9153892993927,V,0.0018042772339325053
num__D2,D2,2.8901493549346924,D,0.0017886567275456598
num__V45,V45,2.886876344680786,V,0.0017866311257199344
cat__id_36_F,id_36,2.8688154220581055,identity,0.0017754535750858877
cat__M5_<missing>,M5,2.8396012783050537,M,0.0017573735147339332
num__V90,V90,2.8212544918060303,V,0.001746019048555813
num__V262,V262,2.8152787685394287,V,0.001742320790677026
num__V246,V246,2.75276517868042,V,0.0017036323565054734
num__V158,V158,2.7083911895751953,V,0.0016761701653195472
num__id_25,id_25,2.70129656791687,identity,0.0016717794431802613
num__V256,V256,2.648923873901367,V,0.0016393670104696216
num__V301,V301,2.6330583095550537,V,0.0016295481239972359
num__V329,V329,2.6127631664276123,V,0.0016169878581308995
num__V139,V139,2.587028741836548,V,0.0016010613276920033
num__V99,V99,2.585974931716919,V,0.0016004091452859932
num__V87,V87,2.581698179244995,V,0.0015977623470961719
num__V180,V180,2.5419137477874756,V,0.0015731405430857424
