threshold,precision,recall,f1,tp,fp,tn,fn,n_flagged,flagged_per_day,fraud_caught_per_day
0.53,0.8468934911242604,0.39701803051317613,0.5406043437204909,1145,207,81953,1739,1352,45.06666666666667,38.166666666666664
0.535,0.8487332339791356,0.3949375866851595,0.5390440132513015,1139,203,81957,1745,1342,44.733333333333334,37.96666666666667
0.54,0.8534936138241923,0.39389736477115117,0.5390272835112693,1136,195,81965,1748,1331,44.36666666666667,37.86666666666667
0.545,0.8572513287775246,0.39147018030513175,0.5374910735539157,1129,188,81972,1755,1317,43.9,37.63333333333333
0.55,0.8576893649579189,0.38869625520110956,0.5349558577905035,1121,186,81974,1763,1307,43.56666666666667,37.36666666666667
0.555,0.8606620477290223,0.38765603328710124,0.5345445852259143,1118,181,81979,1766,1299,43.3,37.266666666666666
0.56,0.8612403100775193,0.3852288488210818,0.5323430761859127,1111,179,81981,1773,1290,43.0,37.03333333333333
0.565,0.863849765258216,0.3828016643550624,0.5305141758769822,1104,174,81986,1780,1278,42.6,36.8
0.57,0.8644602048857368,0.380374479889043,0.5282928003852637,1097,172,81988,1787,1269,42.3,36.56666666666667
0.575,0.8681493248610008,0.3789875173370319,0.5276369780352402,1093,166,81994,1791,1259,41.96666666666667,36.43333333333333
0.58,0.8701923076923077,0.3765603328710125,0.5256534365924492,1086,162,81998,1798,1248,41.6,36.2
0.585,0.8718775181305399,0.3751733703190014,0.5246060606060606,1082,159,82001,1802,1241,41.36666666666667,36.06666666666667
0.59,0.8718572587185726,0.37274618585298197,0.5222249210590235,1075,158,82002,1809,1233,41.1,35.833333333333336
0.595,0.8735632183908046,0.36893203883495146,0.5187713310580204,1064,154,82006,1820,1218,40.6,35.46666666666667
0.6,0.8769742310889443,0.3658113730929265,0.5162711034988989,1055,148,82012,1829,1203,40.1,35.166666666666664
0.605,0.8774139378673383,0.36234396671289876,0.5128834355828221,1045,146,82014,1839,1191,39.7,34.833333333333336
0.61,0.8809121621621622,0.3616504854368932,0.5127826941986233,1043,141,82019,1841,1184,39.46666666666667,34.766666666666666
0.615,0.8808510638297873,0.358876560332871,0.5099778270509978,1035,140,82020,1849,1175,39.166666666666664,34.5
0.62,0.8825042881646655,0.3567961165048544,0.5081481481481481,1029,137,82023,1855,1166,38.86666666666667,34.3
0.625,0.8833189282627485,0.35436893203883496,0.5058153922296461,1022,135,82025,1862,1157,38.56666666666667,34.06666666666667
0.63,0.8843478260869565,0.3526352288488211,0.504214179474467,1017,133,82027,1867,1150,38.333333333333336,33.9
0.635,0.8851884312007011,0.3502080443828017,0.5018633540372671,1010,131,82029,1874,1141,38.03333333333333,33.666666666666664
0.64,0.8870255957634599,0.3484743411927878,0.5003734129947722,1005,128,82032,1879,1133,37.766666666666666,33.5
0.645,0.8875,0.3446601941747573,0.4965034965034965,994,126,82034,1890,1120,37.333333333333336,33.13333333333333
0.65,0.8883888388838884,0.3422330097087379,0.49411764705882355,987,124,82036,1897,1111,37.03333333333333,32.9
0.655,0.8888888888888888,0.34119278779472956,0.4931094963668254,984,123,82037,1900,1107,36.9,32.8
0.66,0.8903985507246377,0.3408460471567268,0.49297893681043137,983,121,82039,1901,1104,36.8,32.766666666666666
0.665,0.8916211293260473,0.3394590846047157,0.49171270718232046,979,119,82041,1905,1098,36.6,32.63333333333333
