threshold,precision,recall,f1,tp,fp,tn,fn,n_flagged,flagged_per_day,fraud_caught_per_day
0.425,0.8032200357781754,0.4670596393897365,0.5906599429949573,1347,330,81830,1537,1677,55.9,44.9
0.43,0.8068592057761733,0.46497919556171985,0.5899692036955565,1341,321,81839,1543,1662,55.4,44.7
0.435,0.809322033898305,0.46359223300970875,0.5895061728395061,1337,315,81845,1547,1652,55.06666666666667,44.56666666666667
0.44,0.8115853658536586,0.4615117891816921,0.5884173297966402,1331,309,81851,1553,1640,54.666666666666664,44.36666666666667
0.445,0.81577325939618,0.4590846047156727,0.5875305080985135,1324,299,81861,1560,1623,54.1,44.13333333333333
0.45,0.8172242874845105,0.4573509015256588,0.5864828812805691,1319,295,81865,1565,1614,53.8,43.96666666666667
0.455,0.8192019950124688,0.45561719833564496,0.5855614973262032,1314,290,81870,1570,1604,53.46666666666667,43.8
0.46,0.8201754385964912,0.4538834951456311,0.584375,1309,287,81873,1575,1596,53.2,43.63333333333333
0.465,0.8223062381852552,0.45249653259362,0.5837620219190338,1305,282,81878,1579,1587,52.9,43.5
0.47,0.8246505717916137,0.4500693481276006,0.582323912068192,1298,276,81884,1586,1574,52.46666666666667,43.266666666666666
0.475,0.8261980830670926,0.4483356449375867,0.5812542144302091,1293,272,81888,1591,1565,52.166666666666664,43.1
0.48,0.8265635074145713,0.4445214979195562,0.5781285231116121,1282,269,81891,1602,1551,51.7,42.733333333333334
0.485,0.8307291666666666,0.44244105409153955,0.5773755656108597,1276,260,81900,1608,1536,51.2,42.53333333333333
0.49,0.8354263053536021,0.43828016643550627,0.5749374573572891,1264,249,81911,1620,1513,50.43333333333333,42.13333333333333
0.495,0.8381079280479681,0.43619972260748957,0.5737742303306728,1258,243,81917,1626,1501,50.03333333333333,41.93333333333333
0.5,0.8398123324396782,0.4344660194174757,0.5726691042047531,1253,239,81921,1631,1492,49.733333333333334,41.766666666666666
0.505,0.8392977717758271,0.43099861303744796,0.5695303550973654,1243,238,81922,1641,1481,49.36666666666667,41.43333333333333
0.51,0.8396481732070366,0.4303051317614424,0.5690050435580009,1241,237,81923,1643,1478,49.266666666666666,41.36666666666667
0.515,0.8422841604350781,0.42961165048543687,0.5690011481056257,1239,232,81928,1645,1471,49.03333333333333,41.3
0.52,0.8438356164383561,0.42718446601941745,0.567219152854512,1232,228,81932,1652,1460,48.666666666666664,41.06666666666667
0.525,0.8465791292328957,0.42475728155339804,0.5656892172708382,1225,222,81938,1659,1447,48.233333333333334,40.833333333333336
0.53,0.8494773519163763,0.4226768377253814,0.5644825191016439,1219,216,81944,1665,1435,47.833333333333336,40.63333333333333
0.535,0.8500350385423966,0.42059639389736475,0.5627464625376942,1213,214,81946,1671,1427,47.56666666666667,40.43333333333333
0.54,0.8515901060070671,0.41782246879334256,0.5605954873226331,1205,210,81950,1679,1415,47.166666666666664,40.166666666666664
0.545,0.8528784648187633,0.4160887656033287,0.5593101841062689,1200,207,81953,1684,1407,46.9,40.0
0.55,0.8532374100719424,0.41123439667128986,0.5549836218998596,1186,204,81956,1698,1390,46.333333333333336,39.53333333333333
0.555,0.8561099060014461,0.4105409153952843,0.5549566440121865,1184,199,81961,1700,1383,46.1,39.46666666666667
0.56,0.8580786026200873,0.40880721220527044,0.5537811178957257,1179,195,81965,1705,1374,45.8,39.3
0.565,0.8590211833455077,0.4077669902912621,0.5530213966611803,1176,193,81967,1708,1369,45.63333333333333,39.2
0.57,0.8599706744868035,0.4067267683772538,0.5522598870056497,1173,191,81969,1711,1364,45.46666666666667,39.1
0.575,0.8603967670830271,0.40603328710124825,0.5517078916372202,1171,190,81970,1713,1361,45.36666666666667,39.03333333333333
0.58,0.8631970260223049,0.4025658807212205,0.5490659730432725,1161,184,81976,1723,1345,44.833333333333336,38.7
0.585,0.8654135338345864,0.3990984743411928,0.5462743236829615,1151,179,81981,1733,1330,44.333333333333336,38.36666666666667
0.59,0.8657056145675266,0.39563106796116504,0.5430747263207996,1141,177,81983,1743,1318,43.93333333333333,38.03333333333333
0.595,0.8679389312977099,0.39424410540915394,0.542203147353362,1137,173,81987,1747,1310,43.666666666666664,37.9
0.6,0.8672294704528012,0.39181692094313453,0.5397659422020539,1130,173,81987,1754,1303,43.43333333333333,37.666666666666664
0.605,0.8698683191324554,0.3893897364771151,0.5379640718562875,1123,168,81992,1761,1291,43.03333333333333,37.43333333333333
0.61,0.8738317757009346,0.38904299583911234,0.5383877159309021,1122,162,81998,1762,1284,42.8,37.4
0.615,0.874120406567631,0.38765603328710124,0.5371126591400432,1118,161,81999,1766,1279,42.63333333333333,37.266666666666666
0.62,0.8763779527559055,0.3859223300970874,0.5358690418873375,1113,157,82003,1771,1270,42.333333333333336,37.1
0.625,0.8771790808240888,0.38384188626907073,0.5340086830680173,1107,155,82005,1777,1262,42.06666666666667,36.9
0.63,0.8782051282051282,0.3800277392510402,0.5304937076476283,1096,152,82008,1788,1248,41.6,36.53333333333333
0.635,0.8784219001610306,0.37829403606102635,0.5288414929714009,1091,151,82009,1793,1242,41.4,36.36666666666667
0.64,0.8787388843977365,0.37690707350901526,0.5275418587721427,1087,150,82010,1797,1237,41.233333333333334,36.233333333333334
0.645,0.8813008130081301,0.37586685159500693,0.5269810403500244,1084,146,82014,1800,1230,41.0,36.13333333333333
0.65,0.8819672131147541,0.37309292649098474,0.5243664717348928,1076,144,82016,1808,1220,40.666666666666664,35.86666666666667
0.655,0.8826446280991735,0.37031900138696255,0.5217391304347826,1068,142,82018,1816,1210,40.333333333333336,35.6
0.66,0.8839732888146912,0.3671983356449376,0.5188633023027928,1059,139,82021,1825,1198,39.93333333333333,35.3
0.665,0.8844856661045531,0.36373092926490985,0.5154791154791155,1049,137,82023,1835,1186,39.53333333333333,34.96666666666667
0.67,0.8837998303647159,0.36130374479889044,0.5129214865862664,1042,137,82023,1842,1179,39.3,34.733333333333334
0.675,0.8862275449101796,0.3592233009708738,0.5112262521588947,1036,133,82027,1848,1169,38.96666666666667,34.53333333333333
0.68,0.8867761452031115,0.35575589459084606,0.5077951002227171,1026,131,82029,1858,1157,38.56666666666667,34.2
0.685,0.8863833477883781,0.35436893203883496,0.5063165717116671,1022,131,82029,1862,1153,38.43333333333333,34.06666666666667
0.69,0.8875326939843069,0.35298196948682387,0.5050855867030514,1018,129,82031,1866,1147,38.233333333333334,33.93333333333333
0.695,0.8894736842105263,0.35159500693481277,0.5039761431411531,1014,126,82034,1870,1140,38.0,33.8
0.7,0.8898678414096917,0.3502080443828017,0.5026125901965663,1010,125,82035,1874,1135,37.833333333333336,33.666666666666664
0.705,0.8906666666666667,0.3474341192787795,0.4998752806186081,1002,123,82037,1882,1125,37.5,33.4
0.71,0.8932735426008969,0.34535367545076284,0.49812453113278315,996,119,82041,1888,1115,37.166666666666664,33.2
0.715,0.8942133815551537,0.3429264909847434,0.49573934837092737,989,117,82043,1895,1106,36.86666666666667,32.96666666666667
0.72,0.8950729927007299,0.34015256588072124,0.49296482412060305,981,115,82045,1903,1096,36.53333333333333,32.7
0.725,0.8961397058823529,0.3380721220527046,0.49093655589123864,975,113,82047,1909,1088,36.266666666666666,32.5
0.73,0.8979591836734694,0.3356449375866852,0.48864209994952046,968,110,82050,1916,1078,35.93333333333333,32.266666666666666
0.735,0.9,0.3339112343966713,0.48710166919575115,963,107,82053,1921,1070,35.666666666666664,32.1
0.74,0.9056603773584906,0.332871012482663,0.48681541582150106,960,100,82060,1924,1060,35.333333333333336,32.0
0.745,0.9100478468899521,0.329750346740638,0.48409264443878847,951,94,82066,1933,1045,34.833333333333336,31.7
0.75,0.9130434782608695,0.3276699029126214,0.48226588415412097,945,90,82070,1939,1035,34.5,31.5
0.755,0.9125364431486881,0.32558945908460474,0.4799386659851776,939,90,82070,1945,1029,34.3,31.3
0.76,0.913894324853229,0.32385575589459087,0.47823860727086537,934,88,82072,1950,1022,34.06666666666667,31.133333333333333
