threshold,fn_cost,fp_cost,total_cost,tp,fp,fn,flagged_rate,precision,recall,f1
0.265,726007.923,25176.918700000002,751184.8417,4120,1755,3410,0.030895035759360538,0.7012765957446808,0.547144754316069,0.6146960089518836
0.27,729864.644,24627.606900000002,754492.2509,4107,1711,3423,0.030595288178376104,0.7059126847713991,0.5454183266932271,0.6153730896014384
0.275,733780.642,23854.456899999997,757635.0989,4090,1666,3440,0.030269246949936896,0.7105628908964559,0.5431606905710491,0.6156856841788348
0.28,736532.402,22945.8545,759478.2565,4077,1617,3453,0.029943205721497685,0.7160168598524763,0.5414342629482072,0.6166061705989111
0.285,739807.3589999999,22313.7017,762121.0606999999,4061,1576,3469,0.02964345814051325,0.7204186624090828,0.5393094289508632,0.6168451431609325
0.29,743793.107,21860.8239,765653.9308999999,4046,1545,3484,0.029401556583929324,0.723663029869433,0.5373173970783532,0.6167212864873104
0.295,745608.536,21339.4493,766947.9853,4035,1505,3495,0.02913336137989062,0.7283393501805054,0.5358565737051793,0.6174445294567712
0.3,749788.683,20702.8469,770491.5299,4018,1461,3512,0.028812578880942363,0.7333455010038328,0.5335989375830014,0.6177261895610732
0.305,751597.5899999999,19860.704,771458.2939999999,4006,1424,3524,0.02855490113588557,0.7377532228360958,0.5320053120849934,0.6182098765432099
0.31,756561.9720000001,19315.7926,775877.7646000001,3985,1393,3545,0.02828144720235591,0.7409817776124954,0.5292164674634794,0.617446544778432
0.315,761293.559,18676.124300000003,779969.6833,3968,1358,3562,0.02800799326882625,0.7450244085617724,0.5269588313413015,0.6172993154947107
0.32,763229.704,18170.505100000002,781400.2091,3955,1329,3575,0.027787126630206143,0.7484859954579863,0.5252324037184595,0.6172935851412517
0.325,765675.8319999999,17769.6739,783445.5059,3944,1290,3586,0.027524190155658393,0.7535345815819641,0.5237715803452855,0.6179880915073643
0.33,768049.701,17310.7082,785360.4092,3928,1260,3602,0.027282288599074462,0.7571318427139553,0.5216467463479416,0.6177071866645699
0.335,771204.1359999999,16837.2163,788041.3522999999,3912,1226,3618,0.027019352124526715,0.7613857532113663,0.5195219123505976,0.6176191979791602
0.34,774775.986,16348.4227,791124.4087,3896,1202,3634,0.026809002944888517,0.7642212632404864,0.5173970783532537,0.6170414950902755
0.345,779015.4770000001,15927.219,794942.6960000001,3873,1182,3657,0.02658287757677745,0.7661721068249259,0.5143426294820718,0.6154946364719905
0.35,781731.186,15661.799200000001,797392.9852,3858,1162,3672,0.026398822044594025,0.7685258964143427,0.5123505976095617,0.614820717131474
0.355,783291.1599999999,15353.4188,798644.5787999999,3842,1142,3688,0.026209507782919646,0.7708667736757624,0.5102257636122178,0.6140322838420968
0.36,787775.8759999999,15123.7481,802899.6240999999,3824,1120,3706,0.025999158603281447,0.7734627831715211,0.5078353253652058,0.6131152797819465
0.365,791218.477,14895.955600000001,806114.4326,3806,1101,3724,0.025804585612116113,0.7756266557978398,0.5054448871181939,0.6120447053147866
0.37,792373.105,14510.1305,806883.2355,3796,1077,3734,0.025625788809423643,0.7789862507695465,0.5041168658698539,0.6121099733935339
0.375,795244.743,14292.045600000001,809536.7886,3778,1059,3752,0.025436474547749263,0.7810626421335538,0.5017264276228419,0.610980836096062
0.38,797527.85,14057.9771,811585.8271,3763,1041,3767,0.025262936474547748,0.7833055786844296,0.499734395750332,0.6101832333387385
0.385,799409.252,13692.3089,813101.5608999999,3744,1015,3786,0.025026293647454775,0.7867198991384745,0.49721115537848604,0.6093254129709496
0.39,801713.6190000001,13461.959300000002,815175.5783,3729,993,3801,0.02483172065628944,0.7897077509529861,0.4952191235059761,0.60871694417238
0.395,806054.426,13161.5931,819216.0191,3716,973,3814,0.024658182583087926,0.7924930688846236,0.4934926958831341,0.6082330796300843
0.4,808080.6869999999,12906.7157,820987.4027,3700,952,3830,0.02446360959192259,0.7953568357695615,0.4913678618857902,0.6074536200952225
0.405,812333.389,12695.7365,825029.1255,3679,935,3851,0.024263777871266302,0.7973558734286953,0.4885790172642762,0.6058959156785243
0.41,815125.575,12404.376100000001,827529.9511,3659,910,3871,0.024027135044173326,0.800831691836288,0.48592297476759627,0.6048433754855773
0.415,816925.2220000001,12234.8806,829160.1026000001,3645,897,3885,0.023885149347917543,0.8025099075297226,0.48406374501992033,0.6038767395626243
0.42,819286.946,11860.7972,831147.7432,3635,875,3895,0.023716870004206983,0.8059866962305987,0.48273572377158036,0.6038205980066444
0.425,821362.926,11630.097000000002,832993.0229999999,3622,856,3908,0.023548590660496423,0.8088432335864225,0.4810092961487384,0.6032644903397736
0.43,825754.687,11211.907500000001,836966.5945,3609,832,3921,0.02335401766933109,0.8126548074757938,0.4792828685258964,0.6029571464372233
0.435,829305.21,10946.4702,840251.6802,3596,815,3934,0.02319625578460244,0.8152346406710497,0.47755644090305444,0.6022946151913574
0.44,832687.87,10572.3795,843260.2495,3581,800,3949,0.02303849389987379,0.8173932892033782,0.4755644090305445,0.6012929225086054
0.445,834031.4,10314.803200000002,844346.2032,3569,785,3961,0.022896508203618007,0.8197060174552135,0.4739707835325365,0.6006395153147088
0.45,836779.736,9630.302800000001,846410.0388,3557,772,3973,0.02276503996634413,0.8216678216678217,0.47237715803452857,0.5998819462011974
0.455,838677.4609999999,9141.8691,847819.3300999999,3546,760,3984,0.022644089188052167,0.8235020901068277,0.4709163346613546,0.5991889151740453
0.46,839842.444,9029.741700000002,848872.1857,3539,747,3991,0.022538914598233067,0.8257116192253849,0.4699867197875166,0.5990182802979012
0.465,841669.685,8699.6786,850369.3636,3525,731,4005,0.022381152713504417,0.8282424812030075,0.4681274900398406,0.5981673171559477
0.47,843362.297,8589.302500000002,851951.5995,3510,721,4020,0.022249684476230543,0.8295911132120066,0.46613545816733065,0.5968880197262137
0.475,844411.405,8303.242100000001,852714.6471000001,3499,706,4031,0.02211295750946571,0.8321046373365042,0.4646746347941567,0.5963357477631018
0.48,846961.306,8156.1373,855117.4432999999,3477,693,4053,0.021928901977282287,0.8338129496402877,0.4617529880478088,0.5943589743589743
0.485,848153.691,7985.659500000001,856139.3505,3462,678,4068,0.02177114009255364,0.836231884057971,0.45976095617529883,0.5933161953727506
0.49,849145.601,7882.746100000001,857028.3471,3447,665,4083,0.0216238956668069,0.8382782101167315,0.45776892430278887,0.5921662944511253
0.495,851329.9720000001,7473.6062,858803.5782000001,3435,653,4095,0.02149768615902398,0.8402641878669276,0.45617529880478086,0.5913238078843175
0.5,854581.21,7155.6937,861736.9036999999,3425,638,4105,0.021366217921750107,0.8429731725326114,0.4548472775564409,0.5908738031570776
0.505,855628.922,6885.834699999999,862514.7567,3415,623,4115,0.02123474968447623,0.845715700842001,0.4535192563081009,0.5904218533886584
0.51,858466.612,6782.030900000001,865248.6429,3399,611,4131,0.021087505258729492,0.8476309226932668,0.451394422310757,0.5890814558058926
0.515,861211.1599999999,6649.6793,867860.8392999999,3392,599,4138,0.020987589398401348,0.8499123026810324,0.45046480743691897,0.5888377744987414
0.52,863433.698,6291.742,869725.44,3383,583,4147,0.02085612116112747,0.8530005042864347,0.449269588313413,0.5885525400139179
0.525,864608.181,6173.8666,870782.0475999999,3370,565,4160,0.02069310054690787,0.8564167725540025,0.44754316069057104,0.5878761447884867
0.53,869683.997,6092.2659,875776.2629,3349,555,4181,0.020530079932688263,0.8578381147540983,0.44475431606905713,0.5857967465453909
0.535,872034.811,6077.106400000001,878111.9174,3338,553,4192,0.020461716449305847,0.8578771524029812,0.44329349269588314,0.584537255932055
0.54,874323.5109999999,6014.445800000001,880337.9567999999,3323,548,4207,0.020356541859486748,0.8584345130457246,0.4413014608233732,0.582931321813876
0.545,875211.9339999999,5795.7482,881007.6821999999,3312,536,4218,0.020235591081194784,0.8607068607068608,0.4398406374501992,0.5821761293724732
0.55,875800.543,5712.7325,881513.2755,3305,531,4225,0.020172486327303323,0.8615745568300313,0.4389110225763612,0.5815590357205701
0.555,879994.7579999999,5499.8150000000005,885494.5729999999,3289,519,4241,0.020025241901556586,0.8637079831932774,0.43678618857901724,0.5801728699947081
0.56,880676.9319999999,5408.8252999999995,886085.7572999999,3284,511,4246,0.01995687841817417,0.8653491436100131,0.43612217795484726,0.5799558498896247
0.565,883119.601,5102.1597,888221.7607,3265,497,4265,0.019783340344972655,0.8678894205209995,0.43359893758300133,0.5782855118668084
