threshold,fn_cost,fp_cost,total_cost,tp,fp,fn,flagged_rate,precision,recall,f1
0.48,863157.816,8697.2052,871855.0212,3322,703,4208,0.021166386201093814,0.8253416149068323,0.44116865869853916,0.5749891821722198
0.485,866472.4619999999,8600.6371,875073.0991,3312,690,4218,0.02104543542280185,0.8275862068965517,0.4398406374501992,0.5744016649323621
0.49,867972.186,8281.4661,876253.6521,3299,677,4231,0.020908708456037022,0.829728370221328,0.4381142098273572,0.5734399443768468
0.495,871797.324,7973.1653,879770.4893,3281,654,4249,0.02069310054690787,0.8337992376111817,0.4357237715803453,0.5723506323593546
0.5,872647.5700000001,7831.8359,880479.4059,3273,648,4257,0.020619478334034498,0.8347360367253251,0.4346613545816733,0.5716531307309406
0.505,874488.25,7592.909,882081.159,3263,638,4267,0.0205143037442154,0.8364521917457062,0.43333333333333335,0.5709036829673695
0.51,876173.7370000001,7383.4611,883557.1981,3254,625,4276,0.020398611695414386,0.8388759989688064,0.43213811420982734,0.5704268559908844
0.515,877728.898,7219.4046,884948.3026,3241,608,4289,0.02024084981068574,0.8420368926994024,0.43041168658698536,0.5696458388259074
0.52,881021.642,7022.1281,888043.7701,3225,598,4305,0.020104122843920907,0.8435783416165316,0.42828685258964144,0.5681317713379723
0.525,882865.499,6798.3094,889663.8084,3212,584,4318,0.019962137147665125,0.8461538461538461,0.42656042496679947,0.5671905350520926
0.53,884267.701,6667.984,890935.685,3197,574,4333,0.01983066891039125,0.8477857332272607,0.4245683930942895,0.5657906379966375
0.535,889152.4920000001,6591.5703,895744.0623000001,3181,565,4349,0.019699200673117374,0.8491724506139883,0.42244355909694553,0.5642071656615821
0.54,891611.96,6478.7454,898090.7054,3171,557,4359,0.019604543542280185,0.8505901287553648,0.42111553784860556,0.5633327411618404
0.545,893766.142,6339.2529,900105.3949,3160,547,4370,0.01949411022297013,0.8524413272187753,0.4196547144754316,0.5624276942244372
0.55,896343.0079999999,6087.2856,902430.2935999999,3148,536,4382,0.019373159444678167,0.8545059717698155,0.4180610889774236,0.5614410558230783
0.555,897990.274,5919.038500000001,903909.3125,3138,529,4392,0.019283761043331932,0.8557403872375239,0.41673306772908364,0.5605072787353755
0.56,900213.507,5703.7137,905917.2207,3123,513,4407,0.019120740429112326,0.8589108910891089,0.4147410358565737,0.5593766792047287
0.565,901761.7509999999,5558.9307,907320.6817,3109,498,4421,0.01896823727387463,0.8619351261436097,0.41288180610889774,0.5583191164586514
0.57,902830.483,5466.9512,908297.4342,3097,489,4433,0.018857803954564576,0.8636363636363636,0.4112881806108898,0.5572148254767902
0.575,905656.9180000001,5405.1062999999995,911062.0243,3080,483,4450,0.018736853176272612,0.8644400785854617,0.40903054448871184,0.5553051473902462
0.58,907463.9380000001,5322.566500000001,912786.5045,3070,476,4460,0.018647454774926377,0.8657642413987592,0.4077025232403719,0.5543517515348502
0.585,908643.96,5172.0543,913816.0142999999,3064,468,4466,0.018573832562053007,0.8674971687429218,0.40690571049136787,0.5539685409510035
0.59,913881.324,5076.527099999999,918957.8511,3046,460,4484,0.01843710559528818,0.8687963491158015,0.4045152722443559,0.5520115984052193
0.595,915705.927,4931.059700000001,920636.9867,3032,446,4498,0.018289861169541437,0.8717653824036803,0.40265604249667997,0.5508720930232558
0.6,918287.9809999999,4796.0257,923084.0066999999,3015,437,4515,0.01815313420277661,0.8734067207415991,0.40039840637450197,0.549080313239847
0.605,919506.829,4693.0211,924199.8501,3002,430,4528,0.01804795961295751,0.8747086247086248,0.39867197875166005,0.5477102718482029
