threshold,fn_cost,fp_cost,total_cost,tp,fp,fn,flagged_rate,precision,recall,f1
0.285,753262.5800000001,22409.298199999997,775671.8782,3948,1535,3582,0.028833613798906185,0.7200437716578515,0.5243027888446216,0.6067778375470684
0.29,755662.139,21811.972,777474.1109999999,3931,1502,3599,0.028570677324358435,0.7235413215534695,0.5220451527224436,0.6064954100131142
0.295,759369.67,20961.774400000002,780331.4444,3914,1461,3616,0.028265671013883047,0.7281860465116279,0.5197875166002656,0.6065865943432778
0.3,763549.958,20260.0414,783809.9994,3894,1422,3636,0.027955405973916703,0.7325056433408578,0.5171314741035856,0.6062587575899112
0.305,768143.19,19606.389900000002,787749.5798999999,3879,1391,3651,0.027713504417332772,0.7360531309297913,0.5151394422310757,0.60609375
0.31,770505.354,18984.9609,789490.3149,3862,1355,3668,0.027434791754312158,0.7402721870806978,0.5128818061088978,0.605946497215031
0.315,773382.35,18315.1754,791697.5253999999,3842,1315,3688,0.02711926798485486,0.7450067868916036,0.5102257636122178,0.6056593363285252
0.32,775414.7819999999,17766.5217,793181.3036999999,3827,1286,3703,0.02688788388725284,0.7484842558185019,0.5082337317397079,0.6053942893300641
0.325,777160.7899999999,17132.618199999997,794293.4082,3813,1254,3717,0.02664598233066891,0.7525162818235642,0.5063745019920318,0.605382233865206
0.33,779900.5090000001,16736.5518,796637.0608000001,3798,1228,3732,0.026430374421539757,0.7556705133306805,0.5043824701195219,0.6049697355845811
0.335,787218.49,16319.2034,803537.6934,3777,1195,3753,0.026146403029028188,0.7596540627514079,0.501593625498008,0.6042233242681172
0.34,789457.0389999999,16055.4795,805512.5184999999,3760,1178,3770,0.025967606226335718,0.7614418793033617,0.49933598937583,0.603144048764838
0.345,792396.838,15675.463,808072.301,3744,1154,3786,0.02575725704669752,0.7643936300530829,0.49721115537848604,0.602510460251046
0.35,795682.1639999999,15361.0885,811043.2524999998,3731,1127,3799,0.025546907867059317,0.7680115273775217,0.4954847277556441,0.6023571197933485
0.355,802119.208,14962.3491,817081.5571,3718,1098,3812,0.02532604122843921,0.7720099667774086,0.49375830013280214,0.602300340191155
0.36,805672.556,14710.5399,820383.0959,3702,1074,3828,0.02511569204880101,0.7751256281407035,0.49163346613545816,0.6016577279375914
0.365,810082.574,14199.452599999999,824282.0266,3688,1047,3842,0.024900084139671857,0.7788806758183738,0.4897742363877822,0.6013860578883
0.37,812949.992,13554.627,826504.619,3671,1021,3859,0.02467395877156079,0.7823955669224212,0.4875166002656042,0.6007200130911471
0.375,814502.9920000001,13265.2905,827768.2825000001,3665,1006,3865,0.024563525452250736,0.7846285591950332,0.4867197875166003,0.6007704286533891
0.38,815013.2440000001,13049.1515,828062.3955000001,3658,988,3872,0.024432057214976863,0.787343951786483,0.4857901726427623,0.6008541392904073
0.385,817999.395,12800.337,830799.7320000001,3643,964,3887,0.02422696676482962,0.7907532016496636,0.48379814077025235,0.6003130921974128
0.39,822181.9239999999,12487.711800000001,834669.6357999999,3632,944,3898,0.024063946150610013,0.7937062937062938,0.48233731739707836,0.6000330414670412
0.395,824560.433,12028.3814,836588.8143999999,3624,927,3906,0.023932477913336136,0.7963085036255768,0.48127490039840637,0.5999503352371494
0.4,827364.608,11800.7684,839165.3764,3604,909,3926,0.023732646192679847,0.7985818745845336,0.4786188579017264,0.5985219629660384
0.405,830758.423,11637.5236,842395.9465999999,3584,893,3946,0.023543331931005468,0.800536073263346,0.4759628154050465,0.5969850920296494
0.41,832118.073,11384.6859,843502.7589,3574,882,3956,0.023432898611695414,0.802064631956912,0.4746347941567065,0.5963624228266311
0.415,836164.082,11068.9637,847233.0457,3558,861,3972,0.02323832562053008,0.8051595383570944,0.47250996015936253,0.5955310067788099
0.42,838514.088,10808.6407,849322.7287,3543,843,3987,0.023064787547328564,0.8077975376196991,0.47051792828685257,0.594662638469285
0.425,839905.303,10502.111499999999,850407.4145,3529,820,4001,0.02287021455616323,0.8114509082547712,0.46865869853917663,0.5941577573869854
