feature,source,gain,group,gain_share
num__D11,D11,6.358465194702148,D,0.000755127305625883
cat__M6_<missing>,M6,6.3293914794921875,M,0.0007516745295928673
num__V40,V40,6.277074337005615,V,0.0007454613788349066
num__V21,V21,6.239914894104004,V,0.0007410483468943948
num__V124,V124,6.223455429077148,V,0.0007390936312362626
num__V128,V128,6.208872318267822,V,0.0007373617502184558
num__V5,V5,6.159299850463867,V,0.0007314745552901552
num__D14,D14,6.146730899810791,D,0.000729981874658812
num__V301,V301,6.1238813400268555,V,0.0007272682753882274
num__D6,D6,6.113644599914551,D,0.0007260525666058883
num__V105,V105,6.0983567237854,V,0.000724236988104371
num__V329,V329,6.084234714508057,V,0.000722559867212916
num__V249,V249,6.0683979988098145,V,0.0007206791088712424
num__id_08,id_08,6.001702308654785,identity,0.000712758370884725
num__V173,V173,6.000453948974609,V,0.0007126101164785315
num__V252,V252,5.98574161529541,V,0.000710862889034415
cat__M7_T,M7,5.968825817108154,M,0.0007088539795387247
num__V181,V181,5.968478202819824,V,0.0007088126970856631
num__V130,V130,5.967769145965576,V,0.0007087284899420384
num__V230,V230,5.959446907043457,V,0.0007077401461103742
num__V319,V319,5.954230308532715,V,0.0007071206261700543
num__V271,V271,5.949437141418457,V,0.0007065513926746157
num__V216,V216,5.937765598297119,V,0.000705165287594249
num__id_13,id_13,5.90337610244751,identity,0.000701081212814004
num__V108,V108,5.884863376617432,V,0.0006988826532012999
num__V337,V337,5.87825345993042,V,0.0006980976636754574
cat__card4_mastercard,card4,5.873101234436035,card,0.0006974857886338525
num__V277,V277,5.8730788230896,V,0.0006974831270765221
num__V215,V215,5.828029155731201,V,0.0006921330570690566
num__V237,V237,5.824099063873291,V,0.0006916663218452798
num__V96,V96,5.7907185554504395,V,0.0006877020737737842
num__V123,V123,5.787528991699219,V,0.0006873232831996707
num__V214,V214,5.690120697021484,V,0.0006757551357217392
num__id_14,id_14,5.676022529602051,identity,0.0006740808462742527
